TIME,ORIGIN,FROM,SEQUENCE,ASPATH,PREFIX,NEXT_HOP
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626308,12859 2914 174 8452 36992,2c0f:fc89:1::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626309,12859 2914 174 8452 36992,2c0f:fc89:2::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626310,12859 2914 174 8452 36992,2c0f:fc89:3::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626311,12859 2914 174 8452 36992,2c0f:fc89:4::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626312,12859 2914 174 8452 36992,2c0f:fc89:5::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626313,12859 2914 174 8452 36992,2c0f:fc89:6::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626314,12859 2914 174 8452 36992,2c0f:fc89:7::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626315,12859 2914 174 8452 36992,2c0f:fc89:8::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626316,12859 2914 174 8452 36992,2c0f:fc89:9::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626317,12859 2914 174 8452 36992,2c0f:fc89:a::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626318,12859 2914 174 8452 36992,2c0f:fc89:b::/48,fe80::f21c:2d01:f5c3:154c
